"","Package","Version"
"abind","abind","1.4-5"
"askpass","askpass","1.1"
"assertthat","assertthat","0.2.1"
"backports","backports","1.2.1"
"base64enc","base64enc","0.1-3"
"bayesm","bayesm","3.1-4"
"BH","BH","1.75.0-0"
"BiasedUrn","BiasedUrn","1.07"
"BiocManager","BiocManager","1.30.15"
"bit","bit","4.0.4"
"bit64","bit64","4.0.5"
"bitops","bitops","1.0-7"
"BradleyTerry2","BradleyTerry2","1.1-2"
"brew","brew","1.0-6"
"brglm","brglm","0.7.2"
"brio","brio","1.1.1"
"broom","broom","0.7.7"
"bslib","bslib","0.2.5.1"
"BTYD","BTYD","2.4.2"
"cachem","cachem","1.0.4"
"callr","callr","3.5.1"
"car","car","3.0-10"
"carData","carData","3.0-4"
"caret","caret","6.0-88"
"caTools","caTools","1.18.2"
"cellranger","cellranger","1.1.0"
"cem","cem","1.1.27"
"classInt","classInt","0.4-3"
"cli","cli","2.5.0"
"clipr","clipr","0.7.1"
"clisymbols","clisymbols","1.2.0"
"cobalt","cobalt","4.3.0"
"coin","coin","1.4-1"
"colorspace","colorspace","2.0-0"
"combinat","combinat","0.0-8"
"commonmark","commonmark","1.7"
"ConfigParser","ConfigParser","1.0.0"
"conquer","conquer","1.0.2"
"contfrac","contfrac","1.1-12"
"corpcor","corpcor","1.6.9"
"covr","covr","3.5.1"
"cpp11","cpp11","0.2.6"
"crayon","crayon","1.4.1"
"credentials","credentials","1.3.0"
"crosstalk","crosstalk","1.1.1"
"Cubist","Cubist","0.3.0"
"curl","curl","4.3"
"cyclocomp","cyclocomp","1.1.0"
"data.table","data.table","1.13.6"
"debugme","debugme","1.1.0"
"DEoptimR","DEoptimR","1.0-9"
"desc","desc","1.2.0"
"deSolve","deSolve","1.28"
"DiceKriging","DiceKriging","1.6.0"
"diffobj","diffobj","0.3.3"
"digest","digest","0.6.27"
"doParallel","doParallel","1.0.16"
"doSNOW","doSNOW","1.0.19"
"downlit","downlit","0.2.1"
"dplyr","dplyr","1.0.4"
"DT","DT","0.18"
"e1071","e1071","1.7-7"
"earth","earth","5.3.0"
"ellipse","ellipse","0.4.2"
"ellipsis","ellipsis","0.3.1"
"elliptic","elliptic","1.4-0"
"evaluate","evaluate","0.14"
"fansi","fansi","0.4.2"
"farver","farver","2.0.3"
"fastDummies","fastDummies","1.6.3"
"fastICA","fastICA","1.2-2"
"fastmap","fastmap","1.1.0"
"feather","feather","0.3.5"
"FNN","FNN","1.1.3"
"foghorn","foghorn","1.4.1"
"fontBitstreamVera","fontBitstreamVera","0.1.1"
"fontLiberation","fontLiberation","0.1.0"
"fontquiver","fontquiver","0.2.1"
"forcats","forcats","0.5.1"
"foreach","foreach","1.5.1"
"Formula","Formula","1.2-4"
"freetypeharfbuzz","freetypeharfbuzz","0.2.6"
"fs","fs","1.5.0"
"gam","gam","1.20"
"gargle","gargle","0.5.0"
"gbm","gbm","2.1.8"
"generics","generics","0.1.0"
"gert","gert","1.3.0"
"ggplot2","ggplot2","3.3.3"
"gh","gh","1.3.0"
"gitcreds","gitcreds","0.1.1"
"glmnet","glmnet","4.1-1"
"glue","glue","1.4.2"
"gmailr","gmailr","1.0.0"
"googleAnalyticsR","googleAnalyticsR","0.8.0"
"googleAuthR","googleAuthR","1.3.1"
"gower","gower","0.2.2"
"gplots","gplots","3.1.1"
"grf","grf","1.2.0"
"gridExtra","gridExtra","2.3"
"gtable","gtable","0.3.0"
"gtools","gtools","3.8.2"
"haven","haven","2.4.1"
"highr","highr","0.8"
"hms","hms","1.0.0"
"htmltools","htmltools","0.5.1.1"
"htmlwidgets","htmlwidgets","1.5.3"
"httpuv","httpuv","1.6.1"
"httr","httr","1.4.2"
"hunspell","hunspell","3.0.1"
"hypergeo","hypergeo","1.2-13"
"ini","ini","0.3.1"
"iotools","iotools","0.3-1"
"ipred","ipred","0.9-11"
"IRdisplay","IRdisplay","1.0"
"IRkernel","IRkernel","1.1.1"
"isoband","isoband","0.2.3"
"ISwR","ISwR","2.0-8"
"iterators","iterators","1.0.13"
"jquerylib","jquerylib","0.1.4"
"jsonlite","jsonlite","1.7.2"
"kernlab","kernlab","0.9-29"
"klaR","klaR","0.6-15"
"knitr","knitr","1.31"
"ks","ks","1.13.1"
"labeling","labeling","0.4.2"
"labelled","labelled","2.8.0"
"laeken","laeken","0.5.1"
"later","later","1.2.0"
"lava","lava","1.6.9"
"lazyeval","lazyeval","0.2.2"
"lfe","lfe","2.8-6"
"lhs","lhs","1.1.1"
"libcoin","libcoin","1.0-8"
"lifecycle","lifecycle","1.0.0"
"lightgbm","lightgbm","3.2.1"
"lintr","lintr","2.0.1"
"lme4","lme4","1.1-27"
"lmtest","lmtest","0.9-38"
"logcondens","logcondens","2.1.5"
"lubridate","lubridate","1.7.9.2"
"magrittr","magrittr","2.0.1"
"maptools","maptools","1.1-1"
"markdown","markdown","1.1"
"MatchIt","MatchIt","4.1.0"
"MatrixModels","MatrixModels","0.5-0"
"matrixStats","matrixStats","0.58.0"
"mclust","mclust","5.4.7"
"mda","mda","0.5-2"
"memoise","memoise","2.0.0"
"mice","mice","3.13.0"
"microbenchmark","microbenchmark","1.4-7"
"mime","mime","0.10"
"miniUI","miniUI","0.1.1.1"
"minqa","minqa","1.2.4"
"misc3d","misc3d","0.9-0"
"mlbench","mlbench","2.1-3"
"MLmetrics","MLmetrics","1.1.1"
"mockery","mockery","0.4.2"
"ModelMetrics","ModelMetrics","1.2.2.2"
"modeltools","modeltools","0.2-23"
"multcomp","multcomp","1.4-16"
"multicool","multicool","0.1-11"
"munsell","munsell","0.5.0"
"mvtnorm","mvtnorm","1.1-1"
"nloptr","nloptr","1.2.2.2"
"numDeriv","numDeriv","2016.8-1.1"
"openssl","openssl","1.4.3"
"openxlsx","openxlsx","4.2.4"
"optimx","optimx","2021-6.12"
"pamr","pamr","1.56.1"
"parsedate","parsedate","1.2.1"
"party","party","1.3-7"
"pbdZMQ","pbdZMQ","0.3-5"
"pbkrtest","pbkrtest","0.5.1"
"penalized","penalized","0.9-51"
"pillar","pillar","1.4.7"
"pingr","pingr","2.0.1"
"pkgbuild","pkgbuild","1.2.0"
"pkgconfig","pkgconfig","2.0.3"
"pkgload","pkgload","1.1.0"
"plot3D","plot3D","1.4"
"plotmo","plotmo","3.6.0"
"plotrix","plotrix","3.8-1"
"pls","pls","2.7-3"
"plyr","plyr","1.8.6"
"pracma","pracma","2.3.3"
"praise","praise","1.0.0"
"prettyunits","prettyunits","1.1.1"
"pROC","pROC","1.17.0.1"
"processx","processx","3.4.5"
"prodlim","prodlim","2019.11.13"
"profileModel","profileModel","0.6.1"
"progress","progress","1.2.2"
"promises","promises","1.2.0.1"
"proxy","proxy","0.4-25"
"ps","ps","1.5.0"
"purrr","purrr","0.3.4"
"quantreg","quantreg","5.86"
"quantregForest","quantregForest","1.3-7"
"questionr","questionr","0.7.4"
"qvcalc","qvcalc","1.0.2"
"R.cache","R.cache","0.15.0"
